Provider ID,Measure,Score,Domain,Hospital Name,City,State,ZIP Code
100035,H_CT_PREFER_A,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_CT_PREFER_D_SD,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_CT_PREFER_SA,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_CT_UNDER_A,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_CT_UNDER_D_SD,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_CT_UNDER_SA,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_CT_MED_A,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_CT_MED_D_SD,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_CT_MED_SA,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_CLEAN_HSP_A_P,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_CLEAN_HSP_SN_P,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_CLEAN_HSP_U_P,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_CLEAN_LINEAR_SCORE,84.0,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_CLEAN_STAR_RATING,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_QUIET_HSP_A_P,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_QUIET_HSP_SN_P,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_QUIET_HSP_U_P,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_QUIET_LINEAR_SCORE,73.0,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_QUIET_STAR_RATING,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_HSP_RATING_0_6,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_HSP_RATING_7_8,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_HSP_RATING_9_10,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_HSP_RATING_LINEAR_SCORE,83.0,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_HSP_RATING_STAR_RATING,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_RECMND_DN,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_RECMND_DY,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_RECMND_PY,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_RECMND_LINEAR_SCORE,80.0,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_RECMND_STAR_RATING,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_STAR_RATING,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100087,H_COMP_1_A_P,,HCAHPS,SARASOTA MEMORIAL HOSPITAL,SARASOTA,FL,34239
100087,H_COMP_1_SN_P,,HCAHPS,SARASOTA MEMORIAL HOSPITAL,SARASOTA,FL,34239
100087,H_COMP_1_U_P,,HCAHPS,SARASOTA MEMORIAL HOSPITAL,SARASOTA,FL,34239
100087,H_COMP_1_LINEAR_SCORE,91.0,HCAHPS,SARASOTA MEMORIAL HOSPITAL,SARASOTA,FL,34239
100087,H_COMP_1_STAR_RATING,,HCAHPS,SARASOTA MEMORIAL HOSPITAL,SARASOTA,FL,34239
100087,H_NURSE_RESPECT_A_P,,HCAHPS,SARASOTA MEMORIAL HOSPITAL,SARASOTA,FL,34239
100087,H_NURSE_RESPECT_SN_P,,HCAHPS,SARASOTA MEMORIAL HOSPITAL,SARASOTA,FL,34239
100087,H_NURSE_RESPECT_U_P,,HCAHPS,SARASOTA MEMORIAL HOSPITAL,SARASOTA,FL,34239
100087,H_NURSE_LISTEN_A_P,,HCAHPS,SARASOTA MEMORIAL HOSPITAL,SARASOTA,FL,34239
100087,H_NURSE_LISTEN_SN_P,,HCAHPS,SARASOTA MEMORIAL HOSPITAL,SARASOTA,FL,34239
100087,H_NURSE_LISTEN_U_P,,HCAHPS,SARASOTA MEMORIAL HOSPITAL,SARASOTA,FL,34239
100087,H_NURSE_EXPLAIN_A_P,,HCAHPS,SARASOTA MEMORIAL HOSPITAL,SARASOTA,FL,34239
100087,H_NURSE_EXPLAIN_SN_P,,HCAHPS,SARASOTA MEMORIAL HOSPITAL,SARASOTA,FL,34239
100087,H_NURSE_EXPLAIN_U_P,,HCAHPS,SARASOTA MEMORIAL HOSPITAL,SARASOTA,FL,34239
100087,H_COMP_2_A_P,,HCAHPS,SARASOTA MEMORIAL HOSPITAL,SARASOTA,FL,34239
100087,H_COMP_2_SN_P,,HCAHPS,SARASOTA MEMORIAL HOSPITAL,SARASOTA,FL,34239
100087,H_COMP_2_U_P,,HCAHPS,SARASOTA MEMORIAL HOSPITAL,SARASOTA,FL,34239
100087,H_COMP_2_LINEAR_SCORE,90.0,HCAHPS,SARASOTA MEMORIAL HOSPITAL,SARASOTA,FL,34239
